Referencia,Nombre,Estado Stock
BK7V5AT#ABM,"HP 240RG9 i5-1334U 14 8GB/SSD512",Producto disponible
90NB13Y1-M02BT0,"Portátil ASUS Vivobook 15 X1504VA-E84556 Intel® Core™ 5 Processor 120U, 15,6"" FHD Touch screen, 16GB, 512 SSD, SO Keep, Quiet Blue.",Producto disponible
NX.JL9AL.001,"Portatil Acer AG15-71P-57KN Intel® Core™ i5-13420H 15.6"" FHD 8GB (1*8) DDR5/512GB PCIe NVMe SSD WIFI6+BT /Linux (ESHELL) Color Mist Green",Producto disponible
C85VLLA#ABM,"HP ProDesk 4 SFF G1i U5225 /16GB/512 PC/Win 11 Pro/WLAN/1-1-1",Producto disponible
90NB10J2-M046J0,"Portátil ASUS Vivobook 15 X1504VA-BQ3904W Intel® Core™ i5-1335U, 15,6"" FHD, 8GB, 512 SSD, SO Windows 11 Home, Quiet Blue.",Producto disponible
B9LM8LT#ABM,"Portatil HP 240G10 i5-1334U 14 8GB/512 PC/Win 11 Pro/WLAN/1-1-1",Producto disponible
D20YVLA#ABM,"HP ProDesk 4 SFF G1i U7265/16GB/512GB /Win 11 Pro/WLAN/1-1-1",Producto disponible
90NX0812-M05Y00,"ASUS EXPERTBOOK B1403CVA-S65014X i5-1335U/14"" FHD/16GB/512GB SSD/W11 Pro/1YR",Producto disponible
C85VQLA#ABM,"HP ProStudio 4 AiO G1i U5225/16GB/512GBPC/Win 11 Pro/NonVpro/3-3-3",Producto disponible
C2QZ5AT#ABM,"HP Pro SFF 400 G9P i5-14500/16GB/512GB SDD/Win 11 Pro/WLAN 2x2/ Vpro Ent/1-1-1",Producto disponible
